"id","identifiantUnique","identifiantCategorie","approprieEnfant","nombreVues","nombreJaime"
33035,GYkIZKiHxx0,20,0,240727,10476
34967,Odw0YKE6g2s,20,0,183533,10651
1099,hObwH6bbdPI,2,0,762560,14654
34948,k-uxRyJHn98,22,0,305947,15889
983,VVy3-zY45ag,22,0,413225,18180
35492,"55JhzTJjh8o",24,0,91528,19414
33968,Q3MklL2L61U,24,0,434945,19925
34142,qyc7miiGTqc,15,0,6032380,20575
34641,JOCsWQdzyfs,22,0,282242,20998
36657,LBfRJoZ9gyc,22,0,6690807,26758
994,Ff3j1Xb2QOc,24,0,872603,27112
865,aAMnyL56uN8,20,0,265333,37795
1636,AKrhSo4lcVE,23,0,594638,40529
1180,ramfzcomZNc,22,0,775238,40762
34969,Nykd9iRvaI8,20,0,590302,42095
754,SB8sGceFoQ0,17,0,1960373,45496
1684,ES2A1lS6qiY,23,0,379816,52119
33464,zMROSlffsg8,24,0,597887,56595
1484,"1j-Yb0FYBFs",22,0,846459,57749
1133,Z7ixZdfYS0Q,22,0,503009,58940
1487,wQPmAUCejHQ,17,0,1025885,63341
1815,swdCqhMUkNo,24,0,988518,65896
33313,"7mlltVU429c",22,0,549601,72175
36511,ERTYnG4a2ss,24,0,1176904,80670
34136,GMBsxqXs3lw,24,0,864742,86837
35797,APUNSFZjSe4,22,0,15378857,87602
33031,QIA0pHhlwAg,20,0,2159935,90428
35287,vdv-IOqGpVI,23,0,7383469,90543
33759,yZRm8IjFeYg,24,0,565159,91660
36578,"49I-5hvdO8s",15,0,7459311,95859
36587,"2td5-q7kTXs",24,0,2391646,115398
1454,B5qJgUU_iUQ,22,0,1615156,121678
725,"46BPPTRxnUw",22,0,3517122,123916
36570,fS9FFUvc0ZI,15,0,1724810,136896
36007,Wxb_fvRRnSg,22,0,1270606,137755
766,bGgQeNnMcEY,17,0,1623701,141817
34078,aFppEGm91n0,22,0,22008430,162583
35642,gh7ZQj7CzsA,20,0,1824366,165095
544,W6O9qdcFzzs,26,0,4424351,169442
1001,"1vkKi2kf0PY",24,0,1635538,180244
1782,ExH5UVEpawM,24,0,4242955,181909
36070,WolrnZvVrC0,22,0,4245298,194731
35390,I3whAzNB9yg,24,0,2225618,244430
36585,ywN2HEoTPCk,22,0,5118579,246175
36596,CuYfTQdAX9s,23,0,17348591,259648
36505,KfLNkWQLgpo,15,0,5286554,260855
1242,esEJSPIQSAg,15,0,14051235,280156
1285,o74mXLERIYw,22,0,1834963,294555
1379,FGsGKLP7RpY,23,0,3654429,425233
1280,"8smSyKLBSQM",22,0,7434996,498991
1901,GTZZLaDxEZQ,22,0,50545190,525495
35928,s2yWPTwiSk8,23,0,7706605,623213
1443,OVKsBC-A9dQ,10,0,15007421,647323
35872,"9oJxZRAYT7Y",22,0,77018784,868512
36729,iv35qSPjXcg,10,0,23677378,1025363
1858,Gq1iolRwy08,24,0,734218,
34486,hcGLn763XrQ,17,0,1099911,
35981,LIzCDSoYwUY,24,0,1469418,
1406,-GSXEyhOYWg,24,0,2540919,
992,cadGpg8vmyI,24,0,392779,5385
818,hgYa8quAqFc,17,0,268839,9426
35411,cvn2mfyGT_s,22,0,206545,10919
33670,-2BCMk6tXaI,24,0,369969,13506
35432,iYBwFso8xso,1,0,758024,16660
33745,"2xGrXWe774M",2,0,261801,17402
1708,Z5nVqfJpLSw,22,0,653546,18572
36672,"22ZQ631EV-s",22,0,249245,19329
34497,"03-Dm-Dda9I",1,0,264078,19999
36648,L0uh-fRZWzg,23,0,224356,24352
112,OIrSm25fhII,17,0,587149,24590
1207,hLHwt2zpyx4,15,0,684673,27303
36652,ZsDNH4mb4xI,23,0,459518,30046
960,cO6_PyZOtaY,22,0,1187278,32252
36362,lOS21S4D5BM,17,0,831881,34986
33046,chDpj47fNTw,23,0,1392904,44675
1293,"7bNJV4vgnik",24,0,1923575,49093
162,IQV-5FZNot8,20,0,840242,51535
36317,bgmSbLr5i6s,17,0,1367442,58235
34075,NUSPsKEbqtE,20,0,5182211,60637
34111,kDanMdtufTg,22,0,6092864,63709
1781,"4H6FlH_kQ7g",22,0,2102824,67019
1057,qye2ipeZ5Z0,22,0,2336551,71198
1385,BHC-c73DvW4,1,0,1772348,74064
36766,dKuM7L83Ous,10,0,1097321,83977
458,qHYrPpSA7DI,22,0,1155948,85956
35847,"1J1Af2bDWbU",24,0,1298675,95866
35242,"12-2aRbfrqY",25,0,2297511,104073
35875,woN7fU6Pwkc,24,0,2036499,110106
849,lUItwnw-iRs,20,0,3059305,114472
435,CC1hhrx3W-A,22,0,2804991,116815
36547,p9jwWRrcvzU,22,0,2411156,121584
35809,gVm3GUuOUZA,22,0,2902527,123451
1145,QTPbflPav3U,15,0,6657131,124803
489,"57wY8armD2o",1,0,584256,144475
36382,jgvt33Gv5fc,24,0,2953041,149937
1442,cQaObVc8aZY,24,0,6241389,165066
36637,yoRhYRfHXEg,15,0,13716659,166843
1632,uNRS4088Am4,23,0,2071741,172221
34451,pCfMEnV9Qko,22,0,16355982,183098
36364,jpb_xE4wY_k,17,0,4153233,188386
1483,mwsjpNAwDmk,24,0,3696424,213710
234,yt1MOWdKXVk,28,0,17736348,216023
35379,"4ZTlQV65GqM",24,0,22326572,243121
35811,"3ojm64n0cBc",22,0,5695486,283149
36643,ACexW6QRecE,10,0,4975929,301844
938,KHPfW-w_qZ0,20,0,17926280,372461
36784,LacuwJsBd7M,22,0,3530332,403331
1250,R7qZJ_xN7u8,10,0,11300788,421908
1148,aoDycJztdBU,15,0,45741265,456651
1136,-0zILAhZ37c,22,0,19066643,459444
36522,yoVSkngqveU,22,0,4416358,486004
1174,"5AwD7E0GI8w",22,0,13372847,497484
1835,UTy__VKW0YI,24,0,5146542,520742
1459,"7Hhjaj9F_aE",22,0,8112376,609226
454,U29IrzivUi4,26,0,6822929,716097
1795,Z8y4o29maTQ,22,0,59417901,870966
1890,"1RrT_8QhKmU",24,0,20428074,906229
1655,ZY2ljemGsJM,20,0,413522,
761,-dWULv6C7jE,24,0,853142,
34770,FyI5yJV_doE,22,0,1743464,
34899,kzGd-mkAjlo,19,0,129291,7080
86,j4e7K6gN75E,20,0,100981,8147
909,X2zmijT17wc,22,0,170204,11220
33561,HYk9wL4Gtuw,22,0,127083,11885
33739,"2MftzXqUHOE",2,0,1568850,11900
36431,rrbBTngzeCY,17,0,217214,12102
1120,"1wJgqsW4HXY",2,0,542885,14153
34937,ZpsXOhYWyEk,20,0,232119,19171
33089,LDBVxieMy5A,20,0,213986,19821
36417,gSOzPPOLbko,17,0,360525,22195
36471,zr3qOQew70o,17,0,632012,27577
36455,"1ns_14zXsOY",22,0,407523,30669
35450,n_pelPnXEA0,23,0,275219,32305
34946,KjskYyTvS5M,20,0,179566,34479
33070,F0oce9zMH6s,20,0,610467,34746
34074,"0QafKOrHkuw",10,0,617971,47500
36675,"1SVD93EwXUs",22,0,828086,56874
34916,MXHOq6AuE40,20,0,1289500,61070
1073,"8CI_P1caTxQ",22,0,6017543,61325
762,nSxnuNKMxkQ,17,0,1288549,68145
36189,ENLVblZOQWM,25,0,10914440,69798
35796,J_gxRmzYAtA,23,0,1094153,79726
1407,"9irUmmBhUmY",24,0,939859,82957
746,YYmaKs_OX-4,22,0,1739240,96537
35930,V6nWolMs2bo,22,0,6801865,103843
35851,mBBzi6P59vE,17,0,9635503,105389
1488,Q_any1_i_44,22,0,1176282,124247
34755,zQxQ-nXKJfw,24,0,2754581,135701
36575,c3aYBusgzFw,22,0,19214147,143229
36757,AT--Zpe284w,24,0,2485598,177088
950,Et5LTkq-Ppo,23,0,2131217,181025
1157,C5wErvTWEdc,24,0,3213372,189600
35862,QjOlb60pA64,22,0,3515523,208082
1843,ZcFTGqnQp_4,22,0,23863530,217609
